artist_id,artist,followers,popularity,genre
2ENaPFnsKa9MlutVokd6es,Maan,2433876,61,pop
1hJuGCUpefX24GFmss9bjH,Amy Macdonald,492731,61,pop
17lzZA2AlOHwCwFALHttmp,2 Chainz,8018271,74,hip hop
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,2496356,65,pop
2t1vHqFELDwweQWM6JYxHG,Kelvin Jones,54808,52,pop
4xTDPgk4jHCF0qui3dH6BS,Black M,340143,50,metal
4ArPQ1Opcksbbf3CPwEjWE,Emilee,99611,58,pop
4R529xQ7WQfRpSEXaHFbRg,InfaRed,1484,49,hip hop
1JS0Gw2KxVFPmFNivcjmgt,Berre,4621,42,pop
20j1uz7iDOtIvIzCr5S8nx,SEUNGRI,445617,52,pop
1mOEe4YuD4hBTa1xyzSBfs,Daan,39851,34,latin
3oAazIwC0nAYkOKVQPUC38,Sirah,19203,53,electronic
56Qz2XwGj7FxnNKrfkWjnb,FAST BOY,35007,68,pop
1G9G7WwrXka3Z1r7aIDjI7,Outkast,2673967,74,hip hop
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,6645053,80,rock
1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,1692476,76,funk
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,8288233,76,pop
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,24281740,83,rock
2NWl72uscoDndjs9mHTOVD,Nyla,35,55,electronic
2NPduAUeLVsfIauhRwuft1,Nightwish,2173277,64,metal
7sfl4Xt5KmfyDs2T3SVSMK,Lil Jon,1581482,72,hip hop
0NGAZxHanS9e0iNHpR8f2W,Alok,11310159,79,electronic
5CiGnKThu5ctn9pBxv7DGa,benny blanco,1162155,70,pop
0Sz2jslaxjcw2VM5zYh2jK,Kaleen,15232,49,pop
5sK8BsvyDl4TFA6KaBf8or,Charly Black,341532,59,dance
2dd5mrQZvg6SmahdgVKDzh,PSY,1589366,61,rap
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,5048363,71,pop
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,11771199,77,metal
246dkjvS1zLTtiykXe5h60,Post Malone,44275627,90,rap
0awl5piYwO0CDTHEkCjUhn,Nico & Vinz,523846,61,hip hop
5pXe6yFchq1oyYK3rq2A8i,KIDDO,26765,60,pop
0ZCO8oVkMj897cKgFH7fRW,Angele,7339399,77,latin
05lF0DUkLJqiW5o70SScyR,Hybrid Minds,168213,58,electronic
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,45226684,86,rap
6DgP9otnZw5z6daOntINxp,Joel Corry,420937,71,pop
5xKp3UyavIBUsGy3DQdXeF,A Great Big World,571164,58,pop
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,3852035,75,pop
4L2dV3zY7RmkeiNO035Fi0,Mufasa,16641,60,pop
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,33279350,79,pop
51Blml2LZPmy7TTiAg47vQ,U2,12213348,76,rock
0cI6OkaZLXsri5KKsbEUnD,Alex Germys,2013,24,pop
4TrraAsitQKl821DQY42cZ,Sigrid,700476,57,pop
1h6Cn3P4NGzXbaXidqURXs,Swedish House Mafia,3763860,75,electronic
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,12056739,77,pop
7gXb99Sf9nNmpNYeAgIQFG,Sub Urban,1690268,64,pop
3e7awlrlDSwF3iM0WBjGMp,Little Mix,11927485,72,pop
